Movie,Runtime (in min),Genre,Rating,Box Office,Director
127 Hours,94,"Biography, Drama",7.5,$18.34M,Danny Boyle
The Last Detail,104,"Comedy, Drama",7.5,$3.19M,Hal Ashby
Leaving Las Vegas,111,"Drama, Romance",7.5,$31.97M,Mike Figgis
Fucking Åmål,89,"Comedy, Drama, Romance",7.5,$0.17M,Lukas Moodysson
The Abyss,140,"Adventure, Drama, Mystery",7.5,$54.46M,James Cameron
Total Recall,113,"Action, Adventure, Sci-Fi",7.5,$119.39M,Paul Verhoeven
A Single Man,99,"Crime, Drama, Romance",7.5,$9.17M,Tom Ford
The Crow,102,"Action, Crime, Drama",7.5,$50.69M,Alex Proyas
Dark Passage,106,"Film-Noir, Thriller",7.5,"21,065",Delmer Daves
A Fish Called Wanda,108,"Comedy, Crime",7.5,$63.49M,Charles Crichton
Boys Don't Cry,118,"Biography, Crime, Drama",7.5,$11.53M,Kimberly Peirce
Thank You for Smoking,92,"Comedy, Drama",7.5,$24.79M,Jason Reitman
The Conjuring,112,"Horror, Mystery, Thriller",7.5,$137.40M,James Wan
Sophie's Choice,150,"Drama, Romance",7.5,$30.04M,Alan J. Pakula
Les Misérables,158,"Drama, Musical, Romance",7.5,$148.81M,Tom Hooper
The Hours,110,"Drama, Romance",7.5,$41.68M,Stephen Daldry
The Man Who Wasn't There,116,"Crime, Drama",7.5,$7.49M,Joel Coen
Braindead,104,"Comedy, Fantasy, Horror",7.5,$0.24M,Peter Jackson
Perfume: The Story of a Murderer,147,"Crime, Drama, Fantasy",7.5,$2.22M,Tom Tykwer
The Evil Dead,85,Horror,7.4,$2.40M,Sam Raimi
Army of Darkness,81,"Comedy, Horror",7.4,$11.50M,Sam Raimi
Witness,112,"Drama, Romance, Thriller",7.4,$68.71M,Peter Weir
